"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0,20,5,0.2,"Bias",-0.14636,0.10326,0.10344,0.1031,-0.01471,-0.00333,-0.00031,0.24502,0.23907,0.24556
0,20,5,0.2,"Var",4.50802,4.731,4.27352,4.29914,6.09743,6.13648,6.14215,4.41604,4.3927,4.41163
0,20,5,0.2,"MSE",1.83672,1.38875,1.33787,1.3392,2.11013,2.24897,2.26598,1.78566,1.76013,1.78516
0,20,5,0.8,"Bias",-0.02078,0.14005,0.19095,0.11721,0.02952,0.19177,0.19562,0.07445,0.0724,0.07444
0,20,5,0.8,"Var",23.02153,22.85561,19.85152,21.74082,26.7738,26.71168,25.86869,23.30698,23.326,23.30701
0,20,5,0.8,"MSE",1.2077,1.36772,1.46505,1.37501,3.81594,4.73227,4.10348,1.19899,1.20016,1.19896
0,20,10,0.2,"Bias",-0.10761,0.01072,0.00878,0.01236,-0.0054,-0.00507,-0.00492,-0.1411,-0.14672,-0.14201
0,20,10,0.2,"Var",4.81469,5.00873,4.75736,4.78674,6.33592,6.26519,6.25667,4.93118,4.88554,4.92803
0,20,10,0.2,"MSE",1.64719,1.16135,1.1495,1.15016,2.03689,1.99196,1.99554,1.38084,1.39631,1.38105
0,20,10,0.8,"Bias",-0.03827,0.03985,0.02129,0.04915,-0.00394,0.01987,0.02065,-0.0541,-0.05603,-0.05419
0,20,10,0.8,"Var",23.35429,23.51792,21.67262,22.88691,26.53763,25.20316,25.19982,23.39517,23.40367,23.39599
0,20,10,0.8,"MSE",1.1479,1.22173,1.22812,1.21599,2.71422,1.56762,1.56336,1.14123,1.1409,1.14072
0,20,20,0.2,"Bias",-0.01265,-0.00271,-0.00398,-0.0017,-0.00206,-0.00153,0.0009,-0.0601,-0.08566,-0.06211
0,20,20,0.2,"Var",5.25198,6.00071,5.82568,5.86892,7.36174,7.29955,6.76681,5.56141,5.4935,5.55426
0,20,20,0.2,"MSE",1.6854,1.07814,1.07728,1.07737,2.01892,1.98079,1.88903,1.21376,1.1944,1.21142
0,20,20,0.8,"Bias",0.00392,-0.00669,-0.02578,0.00328,-0.00092,-0.00254,-0.00282,-0.03752,-0.03769,-0.03746
0,20,20,0.8,"Var",34.99648,34.12639,32.87512,33.72203,37.40505,36.68015,36.46682,35.0665,35.07745,35.06558
0,20,20,0.8,"MSE",1.14018,1.11304,1.1261,1.11449,2.33906,1.75368,1.64774,1.13333,1.13408,1.13328
0,20,30,0.2,"Bias",0.00536,-0.00236,-0.00269,-0.00208,0.00004,-0.00064,0.01467,0.00639,-0.0494,0.00231
